ID,Work Item,Type,Priority,Effort (Days),Component,Description,Dependencies,Original Item,Phase
I3,MS Teams Integration,Backend,P1,3,Notification Service,"Microsoft Graph API integration, send Teams messages, Adaptive Cards for notifications",I1,#8 (partial),Production
I4,Outlook Integration,Backend,P2,2,Notification Service,"Create Outlook calendar events for SLA deadlines, task integration",I1,#8 (partial),Enhancement
J1,SLA Configuration APIs,Backend,P0,2,SLA Service,"GET /sla/configurations, PUT /sla/configurations/{id}, configure per control type",B1,#12 (partial),MVP
J2,SLA Tracking Service,Backend,P0,3,SLA Service,"Background job to calculate SLA status, auto-create SLATracking, update status (ON_TRACK/APPROACHING/BREACHED), send notifications","J1, I1",#12,MVP
J3,SLA Monitoring APIs,Backend,P1,1,SLA Service,"GET /sla/breaches, dashboard data for SLA metrics",J2,New,Production
K1,SERA Integration,Backend,P0,3,Aggregation Service,"GET /external/applications (from SERA), GET /external/applications/{swcId}, POST /external/sync, cache in SQL ApplicationMetadata",B2,"#13, #17, #18",MVP
K2,iSAC Integration,Backend,P0,2,Aggregation Service,"Same as K1 but for iSAC system",B2,#13,MVP
K3,Cumulus Integration,Backend,P0,2,Aggregation Service,"Same as K1 but for Cumulus system",B2,#13,MVP
K4,AppChk Integration,Backend,P1,2,Aggregation Service,"Application validation checks",B2,#13 (partial),Production
K5,Background Sync Job,Backend,P1,2,Aggregation Service,"Scheduled job (daily) to sync all applications, Azure Functions Timer Trigger","K1, K2, K3",New,Production
L1,Dashboard Analytics APIs,Backend,P1,2,Aggregation Service,"GET /analytics/dashboard, aggregate stats (pending/approved/rejected), performance metrics",B1,New,Production
L2,Compliance Reporting,Backend,P2,3,Aggregation Service,"GET /analytics/compliance-report, generate PDF/Excel reports, export to Blob Storage",L1,New,Enhancement
N1,Central Inventory Dashboard,Frontend,P0,5,React SPA,"Step-by-step wizard, template selection/prefill, evidence upload, form validation","E1, F1, K1",#5,MVP
N2,End User Dashboard,Frontend,P0,4,React SPA,"My Transfers view, SLA tracking display, escalation button, audit trail modal","E1, H1",#2,MVP
N3,Admin Dashboard,Frontend,P0,5,React SPA,"Evidence queue, MER review panel, template upload, review workflows","G1, G2, D2",#3,MVP
N4,Legal Dashboard,Frontend,P0,4,React SPA,"Escalated items view, review panel with escalation info, deputy assignments","G3, G4",#4,MVP
N5,Business Dashboard,Frontend,P1,3,React SPA,"Similar to Legal dashboard, business-escalated items",G3,#6,Production
O1,CI/CD Pipeline,DevOps,P0,2,Azure DevOps,"Azure DevOps pipelines, build/test/deploy, environment configs, automated testing",A2,New,MVP
O2,Monitoring & Alerting,DevOps,P0,2,Azure Monitor,"Application Insights dashboards, custom alerts (API errors, SLA breaches), Log Analytics queries",A1,New,MVP
O3,Disaster Recovery,DevOps,P1,2,Azure Infrastructure,"Geo-replication setup, backup policies, recovery procedures documentation",A1,New,Production
